"Story","Title","Result","Date","Stability","Duration (s)"
"Crear cliente",": Crear cliente correctamente","SUCCESS","2023-02-07T19:39:51.985-05:00[America/Bogota]","0.0","24.33"
"Editar cliente",": Editar cliente correctamente","SUCCESS","2023-02-07T19:40:16.326-05:00[America/Bogota]","0.0","18.67"
